"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
" 48-60","3","0","0","16.7","0","0","16.7","66.7","0","136.7","0","0","16.7","0","0","16.7","1.21","0.19"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","37","0","0","1.4","0","0","1.4","29.7","13.7","45.8","10.8","0","22.2","5.4","0","14","0.22","1.55"
" 0-5","10","0","0","5","0","0","5","10","0","33.6","0","0","5","0","0","5","-0.7","1.08"
" 6-11","15","0","0","3.3","0","0","3.3","20","0","43.6","6.7","0","22.6","0","0","3.3","0.1","1.29"
" 12-23","6","0","0","8.3","0","0","8.3","33.3","0","79.4","33.3","0","79.4","16.7","0","54.8","0.7","2.23"
" 24-35","2","0","0","25","0","0","25","100","75","125","50","0","144.3","50","0","144.3","2.64","1.58"
" 36-47","1","0","0","50","0","0","50","0","0","50","0","0","50","0","0","50","0.16", 
" 48-60","3","0","0","16.7","0","0","16.7","100","83.3","116.7","0","0","16.7","0","0","16.7","1.27","0.1"
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","68","0","0","0.7","11.8","3.4","20.2","-0.75","1.01","","","","","","","","",""
" 0-5","21","0","0","2.4","14.3","0","31.6","-0.7","0.97","","","","","","","","",""
" 6-11","34","0","0","1.5","8.8","0","19.8","-0.75","1.05","","","","","","","","",""
" 12-23","9","0","0","5.6","22.2","0","54.9","-1.17","1.03","","","","","","","","",""
" 24-35","2","0","0","25","0","0","25","-0.05","0.58","","","","","","","","",""
" 36-47","2","0","0","25","0","0","25","0","0.08","","","","","","","","",""
" 48-60","0", , , , , , , , ,"","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","68","7.4","0.4","14.3","25","14","36","-1.1","1.73","","","","","","","","",""
" 0-5","21","4.8","0","16.3","14.3","0","31.6","-0.66","1.45","","","","","","","","",""
" 6-11","34","0","0","1.5","26.5","10.2","42.8","-0.98","1.75","","","","","","","","",""
" 12-23","9","44.4","6.4","82.5","55.6","17.5","93.6","-2.77","1.59","","","","","","","","",""
" 24-35","2","0","0","25","0","0","25","-1.52","0.2","","","","","","","","",""
" 36-47","2","0","0","25","0","0","25","0.25","2.02","","","","","","","","",""
" 48-60","0", , , , , , , , ,"","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","68","1.5","0","5.1","5.9","0","12.2","19.1","9","29.2","1.5","0","5.1","0","0","0.7","-0.06","1.18"
" 0-5","21","0","0","2.4","4.8","0","16.3","14.3","0","31.6","4.8","0","16.3","0","0","2.4","-0.25","1.14"
" 6-11","34","2.9","0","10.1","8.8","0","19.8","17.6","3.4","31.9","0","0","1.5","0","0","1.5","-0.13","1.24"
" 12-23","9","0","0","5.6","0","0","5.6","33.3","0","69.7","0","0","5.6","0","0","5.6","0.38","1"
" 24-35","2","0","0","25","0","0","25","50","0","144.3","0","0","25","0","0","25","1.06","0.62"
" 36-47","2","0","0","25","0","0","25","0","0","25","0","0","25","0","0","25","-0.19","1.64"
" 48-60","0", , , , , , , , , , , , , , , , , 
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","68","2.9","0","7.7","5.9","0","12.2","20.6","10.2","30.9","2.9","0","7.7","0","0","0.7","-0.1","1.26"
" 0-5","21","0","0","2.4","4.8","0","16.3","4.8","0","16.3","4.8","0","16.3","0","0","2.4","-0.41","1.07"
" 6-11","34","5.9","0","15.3","8.8","0","19.8","20.6","5.5","35.7","0","0","1.5","0","0","1.5","-0.22","1.31"
" 12-23","9","0","0","5.6","0","0","5.6","55.6","17.5","93.6","11.1","0","37.2","0","0","5.6","0.8","1.11"
" 24-35","2","0","0","25","0","0","25","50","0","144.3","0","0","25","0","0","25","1.27","0.61"
" 36-47","2","0","0","25","0","0","25","0","0","25","0","0","25","0","0","25","-0.27","1.75"
" 48-60","0", , , , , , , , , , , , , , , , , 
