"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
" 12-23","56","0","0","0.9","0","0","0.9","26.8","14.3","39.3","5.4","0","12.1","1.8","0","6.1","0.47","0.96"
" 24-35","39","0","0","1.3","0","0","1.3","33.3","17.3","49.4","15.4","2.8","28","2.6","0","8.8","0.71","1.13"
" 36-47","32","0","0","1.6","0","0","1.6","28.1","11","45.3","0","0","1.6","0","0","1.6","0.49","0.76"
" 48-60","33","0","0","1.5","3","0","10.4","36.4","18.4","54.3","6.1","0","15.7","0","0","1.5","0.55","1.08"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","246","0","0","0.2","1.2","0","2.8","31.3","25.3","37.3","7.7","4.2","11.3","0.8","0","2.1","0.54","1.03"
" 0-5","45","0","0","1.1","2.2","0","7.6","24.4","10.8","38.1","6.7","0","15.1","0","0","1.1","0.26","1.13"
" 6-11","41","0","0","1.2","2.4","0","8.4","34.1","18.4","49.9","9.8","0","20.1","0","0","1.2","0.6","1.1"
" 12-23","56","0","0","0.9","0","0","0.9","26.8","14.3","39.3","7.1","0","14.8","1.8","0","6.1","0.56","0.93"
" 24-35","39","0","0","1.3","0","0","1.3","38.5","21.9","55","15.4","2.8","28","2.6","0","8.8","0.74","1.13"
" 36-47","32","0","0","1.6","0","0","1.6","28.1","11","45.3","0","0","1.6","0","0","1.6","0.5","0.76"
" 48-60","33","0","0","1.5","3","0","10.4","39.4","21.2","57.6","6.1","0","15.7","0","0","1.5","0.62","1.09"
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","227","0","0","0.2","1.3","0","3","0.38","1.03","","","","","","","","",""
" 0-5","29","0","0","1.7","3.4","0","11.8","0.2","1.2","","","","","","","","",""
" 6-11","46","0","0","1.1","2.2","0","7.5","0.43","1.03","","","","","","","","",""
" 12-23","53","0","0","0.9","0","0","0.9","0.57","0.95","","","","","","","","",""
" 24-35","34","0","0","1.5","0","0","1.5","0.61","1.15","","","","","","","","",""
" 36-47","32","0","0","1.6","3.1","0","10.7","0.01","0.92","","","","","","","","",""
" 48-60","33","0","0","1.5","0","0","1.5","0.29","0.9","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","227","0","0","0.2","3.5","0.9","6.1","-0.07","0.99","","","","","","","","",""
" 0-5","29","0","0","1.7","0","0","1.7","0.17","1.12","","","","","","","","",""
" 6-11","46","0","0","1.1","2.2","0","7.5","0.07","0.96","","","","","","","","",""
" 12-23","53","0","0","0.9","3.8","0","9.8","-0.1","1.08","","","","","","","","",""
" 24-35","34","0","0","1.5","0","0","1.5","-0.12","0.84","","","","","","","","",""
" 36-47","32","0","0","1.6","9.4","0","21","-0.32","0.96","","","","","","","","",""
" 48-60","33","0","0","1.5","6.1","0","15.7","-0.16","0.94","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","227","0.4","0","1.5","0.4","0","1.5","33.5","27.1","39.8","8.4","4.5","12.2","0.9","0","2.3","0.59","1.03"
" 0-5","29","3.4","0","11.8","3.4","0","11.8","20.7","4.2","37.2","3.4","0","11.8","0","0","1.7","0.18","1.17"
" 6-11","46","0","0","1.1","0","0","1.1","41.3","26","56.6","6.5","0","14.7","0","0","1.1","0.61","1.04"
" 12-23","53","0","0","0.9","0","0","0.9","41.5","27.3","55.7","5.7","0","12.8","0","0","0.9","0.8","0.93"
" 24-35","34","0","0","1.5","0","0","1.5","50","31.7","68.3","23.5","7.8","39.3","2.9","0","10.1","0.9","1.26"
" 36-47","32","0","0","1.6","0","0","1.6","15.6","1.5","29.8","6.3","0","16.2","0","0","1.6","0.3","0.84"
